,city,category,property,price,currency,min_price,max_price
1,Munich,Restaurants,"Meal, Inexpensive Restaurant",15.00,€,10.00,25.00
2,Munich,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",67.50,€,50.00,100.00
3,Munich,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),9.39,€,8.80,10.00
4,Munich,Restaurants,Domestic Beer (0.5 liter draught),4.50,€,3.00,5.20
5,Munich,Restaurants,Imported Beer (0.33 liter bottle),4.50,€,3.50,5.00
6,Munich,Restaurants,Cappuccino (regular),3.63,€,2.30,4.50
7,Munich,Restaurants,Coke/Pepsi (0.33 liter bottle),3.23,€,2.00,4.00
8,Munich,Restaurants,Water (0.33 liter bottle),2.99,€,2.00,4.00
10,Munich,Markets,"Milk (regular), (1 liter)",1.32,€,1.00,1.79
11,Munich,Markets,Loaf of Fresh White Bread (500g),1.98,€,0.89,3.29
12,Munich,Markets,"Rice (white), (1kg)",2.41,€,1.10,3.50
13,Munich,Markets,Eggs (regular) (12),3.37,€,2.39,4.80
14,Munich,Markets,Local Cheese (1kg),14.54,€,7.00,28.00
15,Munich,Markets,Chicken Fillets (1kg),10.98,€,5.00,15.47
16,Munich,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),19.27,€,8.00,30.00
17,Munich,Markets,Apples (1kg),2.85,€,1.50,4.00
18,Munich,Markets,Banana (1kg),1.87,€,1.20,3.00
19,Munich,Markets,Oranges (1kg),2.35,€,1.90,4.75
20,Munich,Markets,Tomato (1kg),3.55,€,1.50,5.00
21,Munich,Markets,Potato (1kg),1.97,€,1.00,3.00
22,Munich,Markets,Onion (1kg),1.33,€,0.89,2.89
23,Munich,Markets,Lettuce (1 head),1.44,€,0.99,2.00
24,Munich,Markets,Water (1.5 liter bottle),0.78,€,0.20,1.60
25,Munich,Markets,Bottle of Wine (Mid-Range),7.00,€,4.00,15.00
26,Munich,Markets,Domestic Beer (0.5 liter bottle),1.05,€,0.80,1.40
27,Munich,Markets,Imported Beer (0.33 liter bottle),1.75,€,1.00,2.80
28,Munich,Markets,Cigarettes 20 Pack (Marlboro),7.70,€,7.00,8.50
30,Munich,Transportation,One-way Ticket (Local Transport),3.60,€,3.20,3.80
31,Munich,Transportation,Monthly Pass (Regular Price),63.10,€,59.00,70.00
32,Munich,Transportation,Taxi Start (Normal Tariff),4.80,€,4.00,7.00
33,Munich,Transportation,Taxi 1km (Normal Tariff),2.08,€,1.70,3.00
34,Munich,Transportation,Taxi 1hour Waiting (Normal Tariff),30.00,€,30.00,40.00
35,Munich,Transportation,Gasoline (1 liter),1.94,€,1.70,2.20
36,Munich,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,000.00",€,"24,000.00","28,000.00"
37,Munich,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"23,609.29",€,"22,000.00","25,000.00"
