,city,lat,lon
0,Munich,48.1371079,11.5753822
1,Stuttgart,48.7784485,9.1800132
2,Karlsruhe,49.0068705,8.4034195
3,Heidelberg,49.4093582,8.694724
4,Mannheim,49.4892913,8.4673098
5,Nuremberg,49.453872,11.077298
6,Darmstadt,49.8851869,8.6736295
7,Frankfurt,50.1106444,8.6820917
8,Dresden,51.0493286,13.7381437
9,Leipzig,51.3406321,12.3747329
10,Berlin,52.5170365,13.3888599
11,Hanover,52.3744779,9.7385532
12,Bremen,53.0758196,8.8071646
13,Hamburg,53.550341,10.000654
14,Aachen,50.776351,6.083862
15,Bonn,50.735851,7.10066
16,Cologne,50.938361,6.959974
17,Dusseldorf,51.2254018,6.7763137
18,Essen,51.4582235,7.0158171
19,Dortmund,51.5142273,7.4652789
